course_id	course_name	course_level	grade_range	category	is_active	subject_bucket	chapter_count	chapters_with_pdf	chapters_with_questions	total_questions	active_questions
156	Concise Chemistry Grade 10 - Exam Prep (ICSE)				1	CHEMISTRY	14	13	0	0	0
160	Grade 10 CBSE Chemistry	CBSE		Chemistry	1	CHEMISTRY	13	0	0	0	0
56	CBSE Grade 4 Hindi - Exam Prep				1	HINDI	15	14	0	0	0
72	CBSE Grade 4 Hindi Language - Exam Prep				1	HINDI	19	18	0	0	0
33	CBSE Grade 4 Mathematics - Exam Prep				1	MATH	23	22	0	0	0
34	CBSE Grade 5 Mathematics - Exam Prep				1	MATH	18	15	14	1774	1434
35	CBSE Grade 6 Mathematics - Exam Prep				1	MATH	19	18	0	0	0
39	CBSE Grade 6 Mathematics (Living Maths) - Exam Prep				1	MATH	13	12	0	0	0
43	CBSE Grade 6 Mathematics (RD Sharma) - Exam Prep				1	MATH	14	12	0	0	0
65	CBSE Grade 8 Mathematics - Exam Prep				1	MATH	28	27	0	0	0
66	ICSE Mathematics Grade 5 - Exam Prep				1	MATH	13	11	0	0	0
68	CBSE Grade 6 Math Divine				1	MATH	9	9	0	0	0
74	Grade 6 CBSE New Enjoying Mathematics				1	MATH	17	17	0	0	0
148	Grade_6_Maths_Exam_prep_CBSE				1	MATH	19	0	0	0	0
149	CBSE Grade 7 Mathematics - Exam Prep				1	MATH	24	23	0	0	0
154	Concise Math Grade 10 - Exam Prep (ICSE)				1	MATH	26	25	0	0	0
155	Concise Physics Grade 10 - Exam Prep (ICSE)				1	PHYSICS	13	12	0	0	0
47	ICSE Science Grade 5 - Exam Prep				1	SCIENCE	13	12	0	0	0
