"course_id"	"course_name"	"subject_bucket"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"question_count"	"active_question_count"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2085"	"1"	"Chapter 1: Periodic Table, Periodic Properties and Variations of Properties"	"1"	"selina-class-10-chemistry-chapter-1-periodic-table-periodic-properties-and-variations-of-properties"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2086"	"2"	"Chapter 2: Chemical Bonding"	"1"	"selina-class-10-chemistry-chapter-2-chemical-bonding"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2087"	"3"	"Chapter 3: Acids, Bases and Salts"	"1"	"selina-class-10-chemistry-chapter-3-acids-bases-and-salts"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2088"	"4"	"Chapter 4: Analytical Chemistry (Units of Ammonium Hydroxide and Sodium Hydroxide)"	"1"	"selina-class-10-chemistry-chapter-4-analytical-chemistry-units-of-ammonium-hydroxide-and-sodium-hydroxide"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2089"	"5"	"Chapter 5: Mole Concept and Stoichiometry"	"1"	"selina-class-10-chemistry-chapter-5-mole-concept-and-stoichiometry"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2090"	"6"	"Chapter 6: Electrolysis"	"1"	"selina-class-10-chemistry-chapter-6-electrolysis"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2091"	"7"	"Chapter 7: Metallurgy"	"1"	"selina-class-10-chemistry-chapter-7-metallurgy"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2092"	"8"	"Chapter 8: Study of Compounds ? Hydrogen Chloride"	"1"	"selina-class-10-chemistry-chapter-8-study-of-compounds-hydrogen-chloride"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2093"	"9"	"Chapter 9: Study of Compounds ? Ammonia"	"1"	"selina-class-10-chemistry-chapter-9-study-of-compounds-ammonia"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2094"	"10"	"Chapter 10: Study of Compounds ? Nitric Acid"	"1"	"selina-class-10-chemistry-chapter-10-study-of-compounds-nitric-acid"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2095"	"11"	"Chapter 11: Sulphuric Acid"	"1"	"selina-class-10-chemistry-chapter-11-sulphuric-acid"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2096"	"12"	"Chapter 12: Organic Chemistry"	"1"	"selina-class-10-chemistry-chapter-12-organic-chemistry"	"0"	"0"
"156"	"Concise Chemistry Grade 10 - Exam Prep (ICSE)"	"CHEMISTRY"	"2097"	"13"	"Chapter 13: Practical Work"	"1"	"selina-class-10-chemistry-chapter-13-practical-work"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"838"	"1"	"Chapter 1: ?????? (?????)"	"1"	"1_tiranga_kavita.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"839"	"2"	"Chapter 2: ????? ????? (?????)"	"1"	"2_anokha_uphaar_kahani.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"840"	"3"	"Chapter 3: ??? ????? (??????)"	"1"	"3_daan_bhavna_lokkatha.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"841"	"4"	"Chapter 4: ?? ???? ?????? ?? (?????????)"	"1"	"4_aaj_meri_chutti_hai_vartalap.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"842"	"5"	"Chapter 5: ??? ?? ??? (?????)"	"1"	"5_kaua_aur_haar_kavita.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"843"	"6"	"Chapter 6: ??? ???? (???????-???)"	"1"	"6_seb_gira_vigyan_katha.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"844"	"7"	"Chapter 7: ???? ?? ????? (?????)"	"1"	"7_koyal_ki_awaz_kahani.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"845"	"8"	"Chapter 8: ?????? ?? ????? ???? (?????)"	"1"	"8_duniya_ko_chamkaye_chand_kavita.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"846"	"9"	"Chapter 9: ????? ??? ??? (????)"	"1"	"9_dekhkar_chalo_bhai_natak.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"847"	"10"	"Chapter 10: ????? ?? ????? (????????)"	"1"	"10_patthar_ka_patthar_chitrakatha.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"848"	"11"	"Chapter 11: ??? (?????)"	"1"	"11_onam_varnan.pdf"	"0"	"0"
"56"	"CBSE Grade 4 Hindi - Exam Prep"	"HINDI"	"849"	"12"	"Chapter 12: ?????? ?? ??? (?????)"	"1"	"12_patton_ke_khel_kavita.pdf"	"0"	"0"
