"wave"	"priority_score"	"subject_bucket"	"course_id"	"course_name"	"course_session_id"	"session_order"	"session_title"	"pdf_count"	"sample_pdf"	"current_question_count"	"target_total_questions"	"target_mcq"	"target_short_answer"	"target_long_answer"	"target_fill_in_blank"	"image_required"	"target_questions_with_images"	"image_root_path"	"chapter_json_output"	"qa_status"	"publish_status"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"838"	"1"	"Chapter 1: ?????? (?????)"	"1"	"1_tiranga_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_838.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"839"	"2"	"Chapter 2: ????? ????? (?????)"	"1"	"2_anokha_uphaar_kahani.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_839.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"840"	"3"	"Chapter 3: ??? ????? (??????)"	"1"	"3_daan_bhavna_lokkatha.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_840.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"841"	"4"	"Chapter 4: ?? ???? ?????? ?? (?????????)"	"1"	"4_aaj_meri_chutti_hai_vartalap.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_841.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"842"	"5"	"Chapter 5: ??? ?? ??? (?????)"	"1"	"5_kaua_aur_haar_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_842.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"843"	"6"	"Chapter 6: ??? ???? (???????-???)"	"1"	"6_seb_gira_vigyan_katha.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_843.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"844"	"7"	"Chapter 7: ???? ?? ????? (?????)"	"1"	"7_koyal_ki_awaz_kahani.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_844.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"845"	"8"	"Chapter 8: ?????? ?? ????? ???? (?????)"	"1"	"8_duniya_ko_chamkaye_chand_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_845.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"846"	"9"	"Chapter 9: ????? ??? ??? (????)"	"1"	"9_dekhkar_chalo_bhai_natak.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_846.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"847"	"10"	"Chapter 10: ????? ?? ????? (????????)"	"1"	"10_patthar_ka_patthar_chitrakatha.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_847.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"848"	"11"	"Chapter 11: ??? (?????)"	"1"	"11_onam_varnan.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_848.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"849"	"12"	"Chapter 12: ?????? ?? ??? (?????)"	"1"	"12_patton_ke_khel_kavita.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_849.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"850"	"13"	"Chapter 13: ???? ???????? ??????????? (????)"	"1"	"13_shankar_chitrakala_pratiyogita_patra.pdf"	"0"	"36"	"12"	"12"	"8"	"4"	"OPTIONAL"	"4"	"/opt/robodynamics/session_materials/56/images"	"/opt/robodynamics/session_materials/56/qbank/chapter_850.json"	"PENDING"	"PENDING"
